run_id,stage,task,metric_name,metric_value,notes,timestamp
20260524_191734,etl,bronze,row_count,1000000.0,raw ingestion,2026-05-24T19:18:08.752976
20260524_191734,etl,bronze,parquet_mb,44.72,bronze Parquet footprint,2026-05-24T19:18:08.760526
20260524_191734,etl,bronze,csv_mb,79.39,raw CSV baseline,2026-05-24T19:18:08.766045
20260524_191734,etl,bronze,duration_sec,5.74,bronze write time,2026-05-24T19:18:08.768619
20260524_191734,etl,silver,row_count,1000000.0,after cleaning & dedup,2026-05-24T19:18:25.055951
20260524_191734,etl,silver,parquet_mb,50.1,silver Parquet footprint,2026-05-24T19:18:25.076989
20260524_191734,etl,silver,rows_dropped,0.0,contract violations + dedup,2026-05-24T19:18:25.080519
20260524_191734,etl,silver,duration_sec,10.21,,2026-05-24T19:18:25.083609
20260524_191734,etl,gold,duration_sec,11.02,,2026-05-24T19:18:43.725983
20260524_191734,etl,gold,parquet_mb,35.62,,2026-05-24T19:18:43.736305
20260524_191734,etl,gold,storage_ratio,0.449,SLO ≤ 0.60 → PASS,2026-05-24T19:18:43.739158
20260524_192827,etl,bronze,row_count,1000000.0,raw ingestion,2026-05-24T19:28:35.186575
20260524_192827,etl,bronze,parquet_mb,44.72,bronze Parquet footprint,2026-05-24T19:28:35.195335
20260524_192827,etl,bronze,csv_mb,79.39,raw CSV baseline,2026-05-24T19:28:35.197814
20260524_192827,etl,bronze,duration_sec,6.37,bronze write time,2026-05-24T19:28:35.199912
20260524_192827,etl,silver,row_count,1000000.0,after cleaning & dedup,2026-05-24T19:28:44.647878
20260524_192827,etl,silver,parquet_mb,50.1,silver Parquet footprint,2026-05-24T19:28:44.651724
20260524_192827,etl,silver,rows_dropped,0.0,contract violations + dedup,2026-05-24T19:28:44.654775
20260524_192827,etl,silver,duration_sec,9.23,,2026-05-24T19:28:44.656897
20260524_192827,etl,gold,duration_sec,9.92,,2026-05-24T19:28:57.961473
20260524_192827,etl,gold,parquet_mb,35.62,,2026-05-24T19:28:57.983117
20260524_192827,etl,gold,storage_ratio,0.449,SLO ≤ 0.60 → PASS,2026-05-24T19:28:57.986564
20260524_192827,streaming,windowed_agg,num_input_rows,0.0,lastProgress,2026-05-24T19:30:54.193171
20260524_192827,streaming,windowed_agg,processing_time_ms,5.0,,2026-05-24T19:30:54.196225
20260524_192827,text,inverted_index,unique_terms,190718.0,,2026-05-24T19:34:18.289589
20260524_192827,text,inverted_index,build_duration_s,18.31,,2026-05-24T19:34:18.314831
20260524_192827,text,query_latency,latency_ms_flight,232.7,SLO ≤ 2000 ms → PASS,2026-05-24T19:36:41.179579
20260524_192827,text,query_latency,latency_ms_airport,180.2,SLO ≤ 2000 ms → PASS,2026-05-24T19:36:41.375343
20260524_192827,text,query_latency,latency_ms_delay,126.0,SLO ≤ 2000 ms → PASS,2026-05-24T19:36:41.503988
20260524_192827,text,query_latency,latency_ms_arrival,82.3,SLO ≤ 2000 ms → PASS,2026-05-24T19:36:41.588960
20260524_192827,text,query_latency,latency_ms_departure,48.1,SLO ≤ 2000 ms → PASS,2026-05-24T19:36:41.639710
20260524_192827,clustering,features,row_count,1000000.0,,2026-05-24T19:36:51.787601
20260524_192827,clustering,k3_seed42,silhouette,0.1649,,2026-05-24T19:38:12.428770
20260524_192827,clustering,k3_seed42,cost,5794392.13,,2026-05-24T19:38:12.441500
20260524_192827,clustering,k3_seed123,silhouette,0.1658,,2026-05-24T19:38:20.209596
20260524_192827,clustering,k3_seed123,cost,5795539.23,,2026-05-24T19:38:20.212265
20260524_192827,clustering,k3_seed456,silhouette,0.1647,,2026-05-24T19:38:28.063949
20260524_192827,clustering,k3_seed456,cost,5796480.27,,2026-05-24T19:38:28.077321
20260524_192827,clustering,k3,mean_silhouette,0.1652,std=0.0006,2026-05-24T19:38:28.088272
20260524_192827,clustering,k5_seed42,silhouette,0.1712,,2026-05-24T19:38:36.674608
20260524_192827,clustering,k5_seed42,cost,5160325.33,,2026-05-24T19:38:36.677337
20260524_192827,clustering,k5_seed123,silhouette,0.1707,,2026-05-24T19:38:46.185655
20260524_192827,clustering,k5_seed123,cost,5163225.76,,2026-05-24T19:38:46.190236
20260524_192827,clustering,k5_seed456,silhouette,0.1687,,2026-05-24T19:38:57.156071
20260524_192827,clustering,k5_seed456,cost,5157895.78,,2026-05-24T19:38:57.161655
20260524_192827,clustering,k5,mean_silhouette,0.1702,std=0.0013,2026-05-24T19:38:57.174526
20260524_192827,clustering,k7_seed42,silhouette,0.1761,,2026-05-24T19:39:10.389893
20260524_192827,clustering,k7_seed42,cost,4721068.0,,2026-05-24T19:39:10.395697
20260524_192827,clustering,k7_seed123,silhouette,0.1748,,2026-05-24T19:39:21.479958
20260524_192827,clustering,k7_seed123,cost,4723941.9,,2026-05-24T19:39:21.483483
20260524_192827,clustering,k7_seed456,silhouette,0.177,,2026-05-24T19:39:32.472913
20260524_192827,clustering,k7_seed456,cost,4716072.99,,2026-05-24T19:39:32.476634
20260524_192827,clustering,k7,mean_silhouette,0.176,std=0.0011,2026-05-24T19:39:32.487240
20260524_192827,clustering,k10_seed42,silhouette,0.1793,,2026-05-24T19:39:44.166838
20260524_192827,clustering,k10_seed42,cost,4267814.95,,2026-05-24T19:39:44.170503
20260524_192827,clustering,k10_seed123,silhouette,0.1751,,2026-05-24T19:39:55.905520
20260524_192827,clustering,k10_seed123,cost,4281883.26,,2026-05-24T19:39:55.908988
20260524_192827,clustering,k10_seed456,silhouette,0.1781,,2026-05-24T19:40:07.600815
20260524_192827,clustering,k10_seed456,cost,4275129.9,,2026-05-24T19:40:07.606354
20260524_192827,clustering,k10,mean_silhouette,0.1775,std=0.0021,2026-05-24T19:40:07.616834
20260524_192827,clustering,k15_seed42,silhouette,0.1941,,2026-05-24T19:40:20.860699
20260524_192827,clustering,k15_seed42,cost,3712536.82,,2026-05-24T19:40:20.864212
20260524_192827,clustering,k15_seed123,silhouette,0.1937,,2026-05-24T19:40:34.339943
20260524_192827,clustering,k15_seed123,cost,3719437.11,,2026-05-24T19:40:34.343610
20260524_192827,clustering,k15_seed456,silhouette,0.197,,2026-05-24T19:40:47.837951
