section,algorithm,k,seed,silhouette,wssse,elapsed_s,num_partitions,timestamp
sweep,KMeans,2,42,0.72,1988971.3691,7.919,8,2026-05-11 18:54:25.149163
sweep,KMeans,3,42,0.5866,1386813.0494,4.925,8,2026-05-11 18:54:25.149163
sweep,KMeans,4,42,0.4488,1270007.8006,7.463,8,2026-05-11 18:54:25.149163
sweep,KMeans,5,42,0.5594,1077861.993,8.949,8,2026-05-11 18:54:25.149163
sweep,KMeans,6,42,0.5229,898087.506,9.797,8,2026-05-11 18:54:25.149163
sweep,BisectingKMeans,2,42,0.72,1988971.3552,11.4,8,2026-05-11 18:54:25.149163
sweep,BisectingKMeans,3,42,0.5823,1399122.9483,25.372,8,2026-05-11 18:54:25.149163
sweep,BisectingKMeans,4,42,0.5285,1164758.5175,21.695,8,2026-05-11 18:54:25.149163
sweep,BisectingKMeans,5,42,0.46,1071213.5016,35.021,8,2026-05-11 18:54:25.149163
sweep,BisectingKMeans,6,42,0.4133,981291.6516,34.738,8,2026-05-11 18:54:25.149163
partition_exp,KMeans,2,42,0.72,,5.426,8,2026-05-11 18:54:25.149163
partition_exp,KMeans,2,42,0.72,,4.917,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,42,0.72,,4.691,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,123,0.72,,5.258,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,2024,0.72,,4.463,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,7,0.72,,5.516,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,999,0.72,,4.767,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,314,0.72,,5.458,8,2026-05-11 18:54:25.149163
seed_stability,KMeans,2,1337,0.72,,5.09,8,2026-05-11 18:54:25.149163
seed_summary,KMeans,2,all,0.7200±0.0000,,,,2026-05-11 18:54:25.149163
